threshold,approve_rate,default_rate,total_profit
0.05,0.07908441014596794,0.03523137729533463,7425856.5673947735
0.1,0.26628978224455613,0.07104104418933795,-10412465.029108753
0.15000000000000002,0.49791068437425223,0.10837040396728373,-81398985.6718761
0.2,0.7043745513280689,0.14303155382580318,-204390567.91863546
0.25,0.8271326872457526,0.1667450194736861,-319661655.1681322
0.3,0.905979301268246,0.1849650199579381,-424862085.61718816
0.35000000000000003,0.9530509691313711,0.19823679321080648,-509063101.2305136
0.4,0.9825586264656616,0.2083859733507058,-576650126.9050486
0.45,0.994020698731754,0.21275363278276124,-605541732.0549943
0.5,0.9974470567121321,0.21424790796076967,-615432425.0880818
0.55,0.9995004785833932,0.21519483589852553,-621810090.2859403
0.6000000000000001,0.9998235223737736,0.21534818599836655,-622797027.304738
0.6500000000000001,0.9998938143096434,0.21538240630361263,-623024378.2788954
0.7000000000000001,1.0,0.21542982770997846,-623321757.0784483
0.7500000000000001,1.0,0.21542982770997846,-623321757.0784483
0.8,1.0,0.21542982770997846,-623321757.0784483
0.8500000000000001,1.0,0.21542982770997846,-623321757.0784483
0.9000000000000001,1.0,0.21542982770997846,-623321757.0784483
0.9500000000000001,1.0,0.21542982770997846,-623321757.0784483
